Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Interstellar,2014,Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Michael Caine', 'Jessica Chastain', 'Casey Affleck', 'Wes Bentley', 'Topher Grace', 'Mackenzie Foy', 'Ellen Burstyn', 'John Lithgow', 'Bill Irwin', 'David Gyasi', 'Timothée Chalamet', 'Matt Damon', 'Josh Stewart', 'Leah Cairns', 'Liam Dickinson', 'Francis X. McCarthy', 'William Devane', 'Andrew Borba', 'Elyes Gabel', 'David Oyelowo', 'Collette Wolfe', 'Jeff Hephner', 'Russ Fega', 'Lena Georgas', 'Brooke Smith', 'Griffen Fraser', 'Flora Nolan', 'Kristian Van der Heyden', 'William Patrick Brown', 'Benjamin Hardy', 'Joseph Oliveira', 'Alexander Michael Helisek', 'Ryan Irving']",4.35,nan,"['Science Fiction', 'Drama', 'Adventure']",169,"['UK', 'USA']",English,['English'],The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"['Legendary Pictures', 'Syncopy', 'Lynda Obst Productions']",3518636,448204,1634431,196000,4166,10763,5419,36484,28859,159819,155316,526165,356464,1180012,2463467,https://letterboxd.com/film/interstellar/
The Devil Wears Prada,2006,David Frankel,"['Anne Hathaway', 'Meryl Streep', 'Emily Blunt', 'Stanley Tucci', 'Simon Baker', 'Adrian Grenier', 'Tracie Thoms', 'Rich Sommer', 'Daniel Sunjata', 'David Marshall Grant', 'James Naughton', 'Tibor Feldman', 'Rebecca Mader', 'Jimena Hoyos', 'Gisele Bündchen', 'George C. Wolfe', 'John Rothman', 'Stephanie Szostak', 'Colleen Dengel', 'Suzanne Dengel', 'Heidi Klum', 'Valentino Garavani', 'Bridget Hall', 'Ines Rivero', 'Alyssa Sutherland', 'Robert Verdi', 'Paul Keany', 'David Callegati', 'Rori Cannon', 'Stan Newman', 'James Cronin', 'Eric Seltzer', 'Lindsay Brice', 'Steve Benisty', 'John Graham', 'Wells Dixon', 'Ilona Alexandra', 'Frank Anello', 'Alexander Blaise', 'Marie Brandt', 'Carl Burrows', 'Dono Cunningham', 'Guy A. Fortt', 'Alexie Gilmore', 'Toree Hill', 'Vivian Kalinov', 'Tim Krueger', 'Hector Lincoln', 'Nina Lisandrello', 'Zev McAllister', 'Matt Murray', 'Ingrid Sophie Schram', 'Bobby Shue', 'Brandhyze Stanley', 'Jen Taylor', 'Taylor Treadwell', 'Donatella Versace', 'Lauren Weisberger', 'Laura D. Williams']",3.78,nan,"['Comedy', 'Drama']",109,['USA'],English,"['English', 'French']","Andy moves to New York to work in the fashion industry. Her boss is extremely demanding, cruel and won't let her succeed if she doesn't fit into the high class elegant look of their magazine.","['Fox 2000 Pictures', '20th Century Fox', 'Wendy Finerman Productions']",1848455,153043,557325,23000,1575,5027,4663,26299,35013,169084,183170,333083,88422,243181,1089517,https://letterboxd.com/film/the-devil-wears-prada/
The Dark Knight Rises,2012,Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Gary Oldman', 'Anne Hathaway', 'Tom Hardy', 'Marion Cotillard', 'Joseph Gordon-Levitt', 'Morgan Freeman', 'Matthew Modine', 'Juno Temple', 'Ben Mendelsohn', 'Burn Gorman', 'Daniel Sunjata', 'Cillian Murphy', 'Alon Abutbul', 'Liam Neeson', 'Nestor Carbonell', 'Josh Stewart', 'Aidan Gillen', 'Tom Conti', 'Joey King', 'Josh Pence', 'John Nolan', 'Warren Brown', 'Sam Kennard', 'Nick Julian', 'Miranda Nolan', 'Claire Julien', 'Brett Cullen', 'Reggie Lee', 'Joseph Lyle Taylor', 'Chris Ellis', 'Duane Henry', 'James Harvey Ward', 'Gonzalo Menendez', 'Cameron Jack', 'Lex Daniel', 'Tyler Dean Flores', 'Thomas Lennon', 'Trevor White', 'Rob Brown', 'Daina Griffith', 'Fredric Lehne', 'Courtney Munch', 'Chris Hill', 'Travis Guba', 'Jay Benedict', 'Will Estes', 'David Dayan Fisher', 'Glen Powell', 'Ben Cornish', 'Russ Fega', 'Andres Perez-Molina', 'Brent Briscoe', 'Oliver Cotton', 'Mark Killeen', 'Sarah Goldberg', 'John Macmillan', 'Robert Wisdom', 'Ronnie Gene Blevins', 'John Hollingworth', 'Ian Bohen', 'Uri Gavriel', 'Noel Gugliemi', 'Hector Atreyu Ruiz', 'Patrick Cox', 'Aramis Knight', 'William Devane', 'David Gyasi', 'Patrick Jordan', 'Joshua Elijah Reese', 'Desmond Harrington', 'Mychael Bates', 'Tomas Arana', 'Peter Holden', 'David Monahan', 'Jillian Armenante', 'Aja Evans', 'Aldous Davidson', 'Wade Williams', 'Jake Canuso', 'Julie Mun', 'Rory Nolan', 'Harry Coles', 'Massi Furlan', 'Todd Gearhart', 'Christopher Judge', 'Patrick Leahy', 'Kevin Kiely Jnr', 'Daniel Newman', 'Isiah Adams', 'Charlie Alejandro', 'Robert Arensen', 'Grant Babbitt', 'Fileena Bahris', 'Rick Bolander', 'Kyle Patrick Brennan', 'Scott Churchson', 'Bill Cowher', 'Graham Curry', 'Aaron Eckhart', 'Stephanie Domini', 'John Farrer', 'Frank Fata', 'Christopher Bryan Gomez', 'Vito Grassi', 'Michael Wren Gucciardo', 'Ed Heavey', 'John W. Iwanonkiw', 'Cindy Jackson', 'Daniel Jordano', 'Tiffany Kemp', 'Sun Jae Kim', 'Hrvoje Klecz', 'Alex Kruz', 'Tyler La Marr', 'LeJon Stewart', 'Paul Jude Letersky', 'Joe Lipari', 'Silvia Lombardo', 'Jorge Mardel', 'Cale McConnell', 'David Dale McCue', 'Michael Papajohn', 'Salomon Passariello', 'Allen Merritt', 'Olan Montgomery', 'Alex Moore', 'Shane Nolan', 'Kyle David Pierce', 'Troy Polamalu', 'Michael Power', 'James Rawlings', 'Kirsten Roeters', 'Ben Roethlisberger', 'Mark Roman', 'Eric Salazar', 'Emily Schooley', 'Thomas Tull', 'Chris Vaina', 'Barbara Vincent', 'Justin Michael Woods', 'Jason Yee', 'John Zion', 'Alex Ziwak', 'Tommy Bayiokos', 'Jeff Moffitt', 'Diogo Hausen', 'Gary Sievers', 'Orion McCabe', 'London May', 'James Quinn', 'Joe Fishel', 'Ming Wang', 'Simon Rhee', 'Hines Ward', 'Heath Miller', 'Collin Taylor', 'Antonio Piluso', 'Jackson Nunn', 'Aljaž Tepina']",3.74,nan,"['Thriller', 'Drama', 'Crime', 'Action']",165,"['USA', 'UK']",English,['English'],"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","['Syncopy', 'Legendary Pictures', 'DC Entertainment', 'Warner Bros. Pictures']",1944443,234828,508805,4500,2591,7853,7438,38814,47310,196882,220351,363420,124546,145576,1154781,https://letterboxd.com/film/the-dark-knight-rises/
Brokeback Mountain,2005,Ang Lee,"['Heath Ledger', 'Jake Gyllenhaal', 'Michelle Williams', 'Anne Hathaway', 'Randy Quaid', 'Linda Cardellini', 'Anna Faris', 'David Harbour', 'Roberta Maxwell', 'Kate Mara', 'Peter McRobbie', 'Graham Beckel', 'Mary Liboiron', 'Scott Michael Campbell', 'Marty Antonini', 'David Trimble', 'Larry Reese', 'Valerie Planche', 'Victor Reyes', 'Lachlan Mackintosh', 'Tom Carey', 'Don Bland', 'Steven Cree Molison', 'Duval Lang', 'Dan McDougall', 'Dean Barrett', 'Kade Phillips', 'Steffen Cole Moser', 'Cheyenne Hill', 'Cayla Wolever', 'Sarah Hyslop', 'Jacey Kenny', 'Keanna Dubé', 'Brooklynn Proulx', 'Hannah Stewart', 'Jake Church', 'James Baker', 'Pete Seadon', 'Jerry Callaghan', 'Ken Zilka', 'John Tench', 'Will Martin', 'Gary Lauder', 'Christian Fraser', 'Cam Sutherland', 'Barb Mitchell', 'Rodrigo Prieto', 'Ken Roberts', 'Kailin See', 'Jayson Therrien', 'Erika Walter']",4.11,nan,"['Romance', 'Drama']",134,"['Canada', 'USA']",English,['English'],"Two modern-day cowboys meet on a shepherding job in the summer of '63, the two share a raw and powerful summer together that turns into a lifelong relationship conflicting with the lives they are supposed to live.","['Focus Features', 'River Road Entertainment', 'Alberta Film Entertainment']",1007674,175552,334144,20000,1554,2951,1762,10199,10561,59151,74139,205686,99997,177831,643831,https://letterboxd.com/film/brokeback-mountain/
Ocean's Eight,2018,Gary Ross,"['Sandra Bullock', 'Cate Blanchett', 'Sarah Paulson', 'Anne Hathaway', 'Awkwafina', 'Helena Bonham Carter', 'Mindy Kaling', 'Rihanna', 'Richard Armitage', 'James Corden', 'Dakota Fanning', 'Nathanya Alexander', 'Damian Young', 'Elliott Gould', 'Marlo Thomas', 'Dana Ivey', 'Mary Louise Wilson', 'Elizabeth Ashley', 'Anna Wintour', 'Maria Sharapova', 'Serena Williams', 'Kim Kardashian', 'Common', 'Adriana Lima', 'Desiigner', 'Kylie Jenner', 'Alexander Wang', 'Liu Wen', 'Kendall Jenner', 'Gigi Hadid', 'Lily Aldridge', 'Olivia Munn', 'Jaime King', 'Hailey Bieber', 'Derek Blasberg', 'Sofia Richie', 'Rainey Qualley', 'Midori Francis', 'Gemma Forbes', 'Charlotte Kirk', 'Whitney White', 'Brian J. Carter', 'Timothy Woods', 'Talia Cuomo', 'Charles Prendergast', 'Richard Robichaux', 'Gideon Glick', 'James Hindman', 'Eaddy Kiernan', 'McNally Sagal', 'Caitlin Mehner', 'James Biberi', 'Migs Govea', 'Shannon Freyer', 'Freddy J. Davila', 'Francesca Calo', 'Deidre Goodwin', 'Sas Goldberg', 'Linda Atkinson', 'Craig Waletzko', 'Naheed Khan', 'Alexandre De Betak', 'Will Stephen', 'Alexander Blaise', 'Asher Bailey', 'Brian Anthony Wilson', 'David Little', 'Liana Wright-Mark', 'Christopher Batyr', 'Clark Carmichael', 'Nancy Lemenager', 'Bianca LaVerne Jones', 'Natasha Harper', 'Grant Hyun', 'Tatiana Spottiswoode', 'Edward Barsamian', 'Whit Anderson', 'Conor Donovan', 'Michael Gandolfini', 'Robert G. McKay', 'Soraya Butler', 'Waris Ahluwalia', 'Dennis Basso', 'Andrew Bolton', 'Hamish Bowles', 'Leon Bridges', 'Cindy Bruna', 'Anna Ewers', 'Wes Gordon', 'Tonne Goodman', 'Prabal Gurung', 'Matt Harvey', 'Dee Hilfiger', 'Tommy Hilfiger', 'Aerin Lauder', 'Nick Mangold', 'John McEnroe', 'Wendi Murdoch', 'Kimberly Pauley', 'Amy Robach', 'Sofia Sanchez de Betak', 'Jonathan Simkhai', 'Cameron Winklevoss', 'Tyler Winklevoss', 'Georgia Witkin', 'Jason Wu', 'Griffin Dunne', 'Daniella Rabbani', 'Daniel May Wong', 'Jill Marie Lawrence', 'Kevin Dotcom Brown', 'Jimmy Kieffer', 'Steven Hauck', 'David Gibson', 'Katherine Hozier-Adams', 'Doug Yasuda', 'Simon Feil', 'Suzanne Jaehne', 'Shaobo Qin', 'Katie Holmes', 'Zac Posen', 'Heidi Klum', 'Lauren Santo Domingo', 'Griffin Newman', 'Nina Cuso', 'Sophia Slaysman']",3.29,nan,"['Crime', 'Action', 'Comedy']",111,['USA'],English,"['English', 'German']","Debbie Ocean, a criminal mastermind, gathers a crew of female thieves to pull off the heist of the century at New York's annual Met Gala.","['Village Roadshow Pictures', 'Warner Bros. Pictures', 'Larger Than Life Productions', 'Rahway Road Productions']",955967,76476,206219,4800,4988,11972,10242,41575,46510,127164,91837,112185,26941,71661,545075,https://letterboxd.com/film/oceans-eight/
The Princess Diaries,2001,Garry Marshall,"['Anne Hathaway', 'Julie Andrews', 'Heather Matarazzo', 'Caroline Goodall', 'Hector Elizondo', 'Robert Schwartzman', 'Erik von Detten', 'Patrick John Flueger', 'Sandra Oh', 'Mandy Moore', ""Sean O'Bryan"", 'Kathleen Marshall', 'Kimleigh Smith', 'Mindy Burbano', 'Elizabeth Gudenrath', 'Bianca Lopez', 'Tamara Levinson', 'Lenore Thomas', 'Erik Bragg', 'Meredith Shevory', 'Anita Marie Curran', 'Cassie Rowell', 'Todd Lowe', 'Joe Unitas', 'Joel McCrary', 'Clare Sera', 'Greg Lewis', 'Bonnie Aarons', 'Darwood Chung', 'Julie Paris', 'Jeff Michalski', ""Erin O'Reilly"", 'Steve Restivo', 'Brigitta Lauren', 'Jane Morris', 'Gary Combs', 'Marvin Braverman', 'Allan Kent', 'Robert Glaudini', 'Bill Ferrell', 'Joe Ross', 'Charles Guardino', 'Sparrow Heatley', 'Gwenda Perez', 'Barbara Marshall', 'Sam Denoff', 'Tracy Reiner', 'Daru Kawalkowski', 'Diane Frazen', 'Stanley Frazen', 'Barbara Nabozny', 'Ira Glick', 'Sol Rosenthal', 'Hope Alexander-Willis', 'Joe Allen Price', 'Willie Brown', 'Patrick Richwood', 'Terry Brown', 'James Brown Orleans', 'Rob Zylowski', 'Karl Makinen', 'Sunny Hawks', 'Kathy Garver', 'Erika Young', 'Ethan Sandler', 'Shan Elliot', 'Trey Carter', 'Bud Markowitz', 'Mark Thompson', 'Brian Phelps', 'Lily Marshall-Fricker', 'Sandra Taylor', 'Tom Hines', 'Nicholle Tom', 'Patrick Noonan', 'Ali Gage', 'John Moran', 'Tanya DiFrancesco', 'Shannon Wilcox', 'Tonje Larsgard', 'Rueben Grundy', 'Gwen Holloway', 'Lori Sigrist', 'Terri Sigrist', 'Andy Arness', 'René Auberjonois', 'Ned Brower', 'Jodi Essex', 'Larry Miller', 'Barry Ratcliffe', 'Craig Richards', 'Terry Wayne', 'Charlotte Marshall-Fricker']",3.64,nan,"['Comedy', 'Family', 'Romance']",115,['USA'],English,['English'],"A socially awkward but very bright 15-year-old girl being raised by a single mom discovers that she is the princess of a small European country because of the recent death of her long-absent father, who, unknown to her, was the crown prince of Genovia. She must make a choice between continuing the life of a San Francisco teen or stepping up to the throne.","['Bottom of the Ninth Productions', 'Walt Disney Pictures', 'BrownHouse Productions']",1113053,110397,260166,5900,1416,4717,4385,21389,25096,98273,78299,140327,31557,127618,533077,https://letterboxd.com/film/the-princess-diaries/
Alice in Wonderland,2010,Tim Burton,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Crispin Glover', 'Matt Lucas', 'Alan Rickman', 'Stephen Fry', 'Michael Sheen', 'Timothy Spall', 'Marton Csokas', 'Lindsay Duncan', 'Geraldine James', 'Tim Pigott-Smith', 'Leo Bill', 'Frances de la Tour', 'Christopher Lee', 'Paul Whitehouse', 'Barbara Windsor', 'Michael Gough', 'Imelda Staunton', 'Eleanor Tomlinson', 'Rebecca Crookshank', 'Jemma Powell', 'Eleanor Gecks', 'Holly Hawkins', 'Lucy Davenport', 'Joel Swetow', 'Jessica Oyelowo', 'Ethan Cohn', 'Richard Alonzo', 'Harry Taylor', 'Chris Grabher', 'Simone Sault', 'Caroline Royce', 'Bonnie Parker', 'Cortney Palm', 'Amy Bailey']",3.07,nan,"['Family', 'Fantasy', 'Adventure']",108,['USA'],English,['English'],"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.","['Walt Disney Pictures', 'Roth Films', 'Team Todd', 'Tim Burton Productions', 'The Zanuck Company']",1338469,80845,198375,6400,9472,23962,19956,65837,59639,143696,82109,105388,22395,77781,610235,https://letterboxd.com/film/alice-in-wonderland-2010/
The Idea of You,2024,Michael Showalter,"['Anne Hathaway', 'Nicholas Galitzine', 'Ella Rubin', 'Annie Mumolo', 'Reid Scott', 'Perry Mattfeld', 'Jordan Aaron Hall', 'Mathilda Gianopoulos', 'Meg Millidge', 'Cheech Manohar', 'Raymond Cham Jr.', 'Jaiden Anthony', 'Viktor White', 'Dakota Adan', 'Roxy Rivera', 'Graham Norton', 'Grace Junot', 'Jon Levine', 'Demi Castro', 'Trevor David', 'Brent Bailey', 'Chandler Lovelle', 'Nina Bloomgarden', 'Hedy Nasser', 'Luke Pierre Roness', 'Melanie Kiran', 'Rashal James', 'Angela Davis', 'Lauren Revard', 'Tiffany Morgan', 'Dustin Lewis', 'Tanya Lim', 'Bethany Brown', 'Trinity Ansah', 'Holly Morris', 'Jean-Luc McMurtry', 'Darryl Fields Jr.', 'Adele']",2.56,nan,"['Drama', 'Romance', 'Comedy']",116,['USA'],English,['English'],"40-year-old single mom Solène begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet.","['Welle Entertainment', 'Somewhere Pictures', 'I’ll Have Another', 'Amazon MGM Studios']",436756,42868,71884,227,9549,20695,20718,60196,58646,97759,46398,38191,6336,17425,375913,https://letterboxd.com/film/the-idea-of-you-2024/
Les Misérables,2012,Tom Hooper,"['Hugh Jackman', 'Russell Crowe', 'Anne Hathaway', 'Amanda Seyfried', 'Sacha Baron Cohen', 'Helena Bonham Carter', 'Eddie Redmayne', 'Aaron Tveit', 'Samantha Barks', 'Daniel Huttlestone', 'Fra Fee', 'Hugh Skinner', 'Alistair Brammer', 'Killian Donnelly', 'Adam Pearce', 'Ian Pirie', 'Tim Downie', 'Bertie Carvel', 'Colm Wilkinson', 'Michael Jibson', 'Isabelle Allen', 'Natalya Wallace', 'Tony Rohr', 'Richard Dixon', 'Andy Beckwith', 'Stephen Bent', 'Heather Chasen', 'Georgie Glen', 'Andrew Havill', 'Stephen Tate', 'Nicola Sloane', 'Daniel Evans', 'Adrian Scarborough', 'David Cann', 'Dick Ward', 'Keith Dunphy', 'Ashley Artus', 'Cavin Cornwall', 'Josef Altin', 'David Hawley', 'Adam Jones', 'John Barr', 'Paul Thornley', 'Paul Howell', 'Kate Fleetwood', 'Hannah Waddingham', 'Clare Foster', 'Kirsty Hoiles', 'Jenna Boyd', 'Alice Fearn', 'Alison Tennant', 'Marilyn Cutts', 'Cathy Breeze', 'John Albasiny', 'David Stoller', 'Ross McCormack', 'Jaygann Ayeh', 'Julia Worsley', 'Frances Ruffelle', 'Lynne Wilmot', 'Charlotte Spencer', 'John Surman', 'James Simmons', 'Polly Kemp', 'Julian Bleach', 'Marc Pickering', 'Phil Snowden', 'Hadrian Delacey', 'Lottie Steer', 'Sam Parks', 'Mark Donovan', 'Lewis Kirk', 'Leighton Rafferty', 'Peter Mair', 'Jack Chissick', 'Norma Atallah', 'Dianne Pilkington', 'Robyn North', 'Patrick Godfrey', 'Mark Roper', 'Paul Leonard', 'Miles Roughley', 'Cameron Strefford', 'Alfie Davis', 'Joseph West', 'Joel Phillimore', 'Jacqueline Dankworth', 'Amelia Jefford', 'Chris Barnes', 'Richard Cordery', 'Gabriel Vick', 'George Blagden', 'Stuart Neal', 'Iwan Lewis', 'Katy Secombe', 'Michael Sarne', 'John Warnaby', 'Freya Parks', 'Hadley Fraser', 'Linzi Hateley', 'Gemma Wardle', 'Gina Beck', 'Katie Hall', 'Lisa Hull', 'Andrea Deck', 'Jessica Duncan', 'Kerry Ingram', 'Richard Bremmer', 'Leslie Csuth', 'Eleanor Bruce', 'Emma Dukes', 'Stephen Matthews', 'Peter Saracen', 'Sebastian Sykes', 'Phil Zimmerman', 'Bessie Carter', 'Helen Cotterill', 'Tricia Deighton', 'Mandy Holliday', 'Charlotte Hope', 'Jackie Marks', 'Sara Pelosi', 'Mary Roscoe', 'Amelia Scaramucci', 'Caroline Sheen', 'Rachael Archer', 'Lorna Brown', 'Antonia Clarke', 'Mary Cormack', 'Sonya Cullingford', 'Holly Dale Spencer', 'Amy Griffiths', 'Fania Grigoriou', 'Amanda Henderson', 'Alexia Khadime', 'Luisa Lazzaro', ""Gemma O'Duffy"", 'Amy Ellen Richardson', 'Olivia Rose-Aaron', 'Robyn Miranda Simpson', 'Rachel Stanley', 'Nancy Sullivan', 'Rebecca Sutherland', 'Tabitha Webb', 'Gerard Bentall', 'Tony Bignell', 'Michael Cahill', 'Richard Colson', 'Kerry Ellis', 'Simon Fisher-Becker', 'Sarah Flind', 'Kelly-Anne Gower', 'James Greene', 'Nick Holder', 'Chris Howell', 'Alison Jiear', 'Terence Keely', 'Martin Marquez', 'Sally Mates', 'Jeff Nicholson', 'Adam Searles', 'Simon Shorten', 'Juliet Alderice', 'Sean Buckley', 'Valerie Cutko', 'Spike Grimsey', 'Matt Harrop', 'Georgina Jackson', 'Perry Millward', 'Phil Philmar', 'Joyce Springer', 'Julie Stark', 'Dominic Applewhite', 'Matthew Corner', 'Andy Coxon', 'Jonathan Dudley', 'Rhidian Marc', 'Chris Milford', 'Jamie Muscato', 'Joseph Peters', 'David Roberts', 'Stevee Davies', 'Jonny Purchase', 'Matt Seadon Young', 'Jos Slovick', 'Matthew Seadon-Young', 'Samuel J. Weir', 'Sophie Huchinson', 'Ella Hunt', 'Claire Machin', 'Brenda Moore', 'Mischa Purnell', 'Annette Yeo', 'Josephine Darvill-Mills', 'Jennifer Essex', 'Vicky Evans', 'Edward Lewis French', 'Nigel Garton', 'Lynn Jezzard', 'Nicholas Keegan', 'Steve Kirkham', 'Vanessa Lee Hicks', 'Ian Parsons', 'Gemma Payne', 'Clinten Pearce', 'Claire Piquemal', 'Aaron Sillis', 'Ian Waller']",3.58,nan,"['Drama', 'History']",158,"['UK', 'USA']",English,['English'],"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.","['Universal Pictures', 'Working Title Films', 'Cameron Mackintosh Ltd.', 'Relativity Media', 'Working Title Films']",610215,68317,121335,3900,2606,6575,5312,19539,19654,57640,54362,78903,26150,45239,315980,https://letterboxd.com/film/les-miserables-2012/
One Day,2011,Lone Scherfig,"['Anne Hathaway', 'Jim Sturgess', 'Tom Mison', 'Jodie Whittaker', 'Rafe Spall', 'Patricia Clarkson', 'Ken Stott', 'Romola Garai', 'Matt Berry', 'Toby Regbo', 'Matthew Beard', 'Georgia King', 'Heida Reed', 'Joséphine de la Baume', 'Amanda Fairbank-Hynes', 'Diana Kent', 'James Laurenson', 'Sébastien Dupuis', 'Lorna Gayle', 'Emilia Jones', 'Eden Mengelgrein', 'Kayla Mengelgrein', 'Clara Paget', 'Tim Key', 'Thomas Arnold', 'Gil Alma', 'David Ajala', 'Ukweli Roach', 'Phoebe Fox', 'Joanna Ampil']",3.4,nan,"['Drama', 'Romance']",107,"['UK', 'USA']",English,['English'],"A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.","['Color Force', 'Film4 Productions', 'Focus Features']",336705,44300,82876,4500,1150,3112,2680,10976,12829,39895,36413,49402,13294,37411,207162,https://letterboxd.com/film/one-day-2011/
