Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Song One,2014,Kate Barker-Froyland,"['Anne Hathaway', 'Johnny Flynn', 'Mary Steenburgen', 'Ben Rosenfield', 'Lola Kirke', 'Gideon Glick', 'Al Thompson', 'Jessamine Kelley', 'Cass Dillon', 'Sarah Steele', 'Li Jun Li', 'Kitty Crystal', 'Grace Rex', 'Roderick Hill', 'Shawn Parsons', 'Peter Francis James', 'Katrina E. Perkins', 'Emily McKinley Hill', 'Sharon Van Etten']",2.84,nan,['Drama'],86,['USA'],English,['English'],"Estranged from her family, Franny returns home when an accident leaves her brother comatose. Retracing his life as an aspiring musician, she tracks down his favorite musician, James Forester. Against the backdrop of Brooklyn’s music scene, Franny and James develop an unexpected relationship and face the realities of their lives.","['Worldview Entertainment', 'Marc Platt Productions']",7680,1552,772,5,53,174,232,787,781,1200,529,367,60,133,4316,https://letterboxd.com/film/song-one/
Ending the Knight,2012,Jason Hillhouse,"['Christian Bale', 'Michael Caine', 'Nestor Carbonell', 'Graham Churchyard', 'Chris Corbould', 'George Cottle', 'Nathan Crowley', 'Kevin De La Noy', 'Scott R. Fisher', 'Paul J. Franklin', 'Morgan Freeman', 'Rob Garlow', 'Jordan Goldberg', 'Joseph Gordon-Levitt', 'Marion Cotillard', 'David S. Goyer', 'Dan Grace', 'Tom Hardy', 'Anne Hathaway', 'Lindy Hemming', 'Ken J. Johnson', 'Kevin Kavanaugh', 'Richard King', 'John Lee', 'Christopher Nolan', 'Jonathan Nolan', 'Gary Oldman', 'Nilo Otero', 'Wally Pfister', 'Buster Reeves', 'Charles Roven', 'Lee Smith', 'Tom Struthers', 'Emma Thomas', 'Jolene Van Vugt', 'Hans Zimmer', 'Joe Fishel']",3.76,nan,['Documentary'],111,nan,English,['English'],"A comprehensive look into how Director Christopher Nolan and his production team made ""The Dark Knight Rises"" the epic conclusion to the Dark Knight legend. These cover stunts and action, production/vehicle design, various effects, photography and shooting IMAX, sets and locations, sound design and music, story/character areas, cast and performances, and some general thoughts about the series.",nan,15832,492,2582,1,22,32,15,128,177,1130,958,2279,450,1302,6493,https://letterboxd.com/film/ending-the-knight/
Nicholas Nickleby,2002,Douglas McGrath,"['Charlie Hunnam', 'Nathan Lane', 'Jim Broadbent', 'Christopher Plummer', 'Jamie Bell', 'Anne Hathaway', 'Alan Cumming', 'Timothy Spall', 'Romola Garai', 'Andrew Havill', 'Stella Gonet', 'Hugh Mitchell', 'Tom Courtenay', 'Juliet Stevenson', 'Lucy Davis', 'Kevin McKidd', 'Edward Fox', 'Nicholas Rowe', 'Angus Wright', 'Barry Humphries', 'Eileen Walsh', 'Mark Wells', 'Daisy Haggard', 'Phil Davis', 'Gerard Horan', 'William Ash', 'Sophie Thompson', 'David Bradley', 'Edward Hogg', 'Roger Ashton-Griffiths', 'Angela Curran', 'Bruce Cook']",3.25,nan,"['Drama', 'Adventure']",132,"['UK', 'USA']",English,['English'],"Nicholas Nickleby, a young boy in search of a better life, struggles to save his family and friends from the abusive exploitation of his coldheartedly grasping uncle.","['Hart-Sharp Entertainment', 'Potboiler Productions', 'United Artists']",7177,1940,900,7,20,69,65,333,359,1038,748,580,131,177,3520,https://letterboxd.com/film/nicholas-nickleby/
The Fire Rises: The Creation and Impact of The Dark Knight Trilogy,2013,Jason Hillhouse,"['Michael Uslan', 'Jeff Jensen', 'Damon Lindelof', 'Emma Thomas', 'Jeff Robinov', 'Christopher Nolan', 'Greg Silverman', 'Richard Roeper', 'Paul Dini', 'Guillermo del Toro', 'Chris Hardwick', 'David S. Goyer', 'Nathan Crowley', 'Paul Levitz', 'Jonathan Nolan', 'Zack Snyder', 'Michael Mann', ""Denny O'Neil"", 'Charles Roven', 'Jordan Goldberg', 'Geoff Johns', 'John Papsidera', 'Lindy Hemming', 'Sue Kroll', 'Christian Bale', 'Michael Caine', 'Aaron Eckhart', 'Morgan Freeman', 'Gary Oldman', 'Maggie Gyllenhaal', 'Heath Ledger', 'Liam Neeson', 'Tom Hardy', 'Anne Hathaway', 'Marion Cotillard', 'Anthony Michael Hall', 'Tom Wilkinson', 'Eion Bailey', 'Cillian Murphy', 'Amy Adams', 'Eric Roberts', 'Rutger Hauer', 'Tom Conti']",3.75,nan,['Documentary'],76,nan,English,['English'],"This feature-length documentary delves into the trilogy, opening with the inspiration and vision for the new Batman films and inching its way toward the Rises finale and the culmination of nearly a decade of creative blood, sweat and tears. Candid, thoughtful and extensive, and comprised of revealing behind-the-scenes footage, countless interviews, audition tapes (with Christian Bale and Cillian Murphy doning the cape and cowl), and a narrative grip and momentum all its own, it leaves no stone unturned.",['New Wave Entertainment'],4199,509,815,5,4,16,8,39,66,271,273,557,138,310,1682,https://letterboxd.com/film/the-fire-rises-the-creation-and-impact-of-the-dark-knight-trilogy/
Girl Rising,2013,Richard Robbins,"['Liam Neeson', 'Freida Pinto', 'Anne Hathaway', 'Alicia Keys', 'Meryl Streep', 'Cate Blanchett', 'Priyanka Chopra Jonas', 'Kerry Washington', 'Salma Hayek Pinault', 'Selena Gomez', 'Sammy Sheik', 'Said Faraj', 'Chloë Grace Moretz']",3.53,nan,['Documentary'],101,"['India', 'USA']",English,['English'],Nine filmmakers each profile a young girl from a different part of the world to weave a global tapestry of youth in the 21st century.,"['The Documentary Group', 'Vulcan Productions']",2164,589,269,2,8,17,9,57,62,193,129,234,48,153,910,https://letterboxd.com/film/girl-rising/
Valentino: The Last Emperor,2008,Matt Tyrnauer,"['Giorgio Armani', 'Valentino Garavani', 'Giancarlo Giammetti', 'Doutzen Kroes', 'Nati Abascal', 'Jeannie Becker', 'Marisa Berenson', 'Matthew Broderick', 'Michael Caine', 'Joan Collins', 'Jacqueline de Ribes', 'Alessandra Facchinetti', 'Dante Ferretti', 'Tom Ford', 'Anne Hathaway', 'Elizabeth Hurley', 'Karl Lagerfeld', 'Elle Macpherson', 'Donatella Versace', 'Diane von Fürstenberg', 'Alek Wek', 'Anna Wintour', 'Gwyneth Paltrow']",3.47,nan,['Documentary'],96,['USA'],English,"['English', 'Italian', 'French']","Film which travels inside the singular world of one of Italy's most famous fashion designers, Valentino Garavani, documenting the colourful and dramatic closing act of his celebrated career and capturing the end of an era in global fashion. However, at the heart of the film is a love story - the unique relationship between Valentino and his business partner and companion of 50 years, Giancarlo Giammetti. Capturing intimate moments in the lives of two of Italy's richest and most famous men, the film lifts the curtain on the final act of a nearly 50-year reign at the top of the glamorous and fiercely competitive world of fashion. (Storyville)",['Acolyte Films'],1612,866,210,1,2,6,5,24,68,233,190,167,24,63,782,https://letterboxd.com/film/valentino-the-last-emperor/
Catwoman: The Feline Femme Fatale,2021,Constantine Nasr,"['Tara Strong', 'Michelle Pfeiffer', 'Anne Hathaway', 'Zoë Kravitz', 'Eartha Kitt', 'Halle Berry', 'Julie Newmar', 'Lee Meriwether', 'Camren Bicondova', 'Alex Ross', 'Jeph Loeb', 'Adrienne Barbeau', 'Michael Uslan', 'Bob Kane', 'Paul Levitz', 'Frank Miller', 'Dan Didio', 'Sam Strangis', 'Adam West', 'Tim Burton', 'Daniel Waters', 'Denise Di Novi', 'Bruce Timm', 'Danny DeVito', 'Paul Dini', 'Dan Riba', 'Sharon Stone', 'Christopher Nolan', 'Jonathan Nolan', 'Emma Thomas', 'Christian Bale', 'Tze Chun', 'Seth Boston', 'Matt Reeves', 'Dylan Clark', 'Suzan Colón', 'Bryan Wynbrandt', 'John Stephens']",3.32,nan,['Documentary'],40,['USA'],English,['English'],A documentary about the history of Catwoman from DC.,['DC Comics'],1380,337,234,0,4,9,14,40,47,211,140,127,15,55,662,https://letterboxd.com/film/catwoman-the-feline-femme-fatale/
Flowervale Street,2025,David Robert Mitchell,"['Anne Hathaway', 'Ewan McGregor', 'Christian Convery', 'Maisy Stella', 'Jordan Alexa Davis', 'P.J. Byrne']",nan,nan,"['Adventure', 'Thriller']",nan,['USA'],English,['English'],Rumored to be a dinosaur movie set in the 1980s.,"['Jackson Pictures', 'Bad Robot', 'Warner Bros. Pictures', 'Good Fear']",19,588,14,0,0,0,0,0,0,0,0,0,0,0,0,https://letterboxd.com/film/flowervale-street/
The Other Side of Heaven,2001,Mitch Davis,"['Christopher Gorham', 'Anne Hathaway', 'Joe Folau', 'Miriama Smith', 'Gerald R. Molen', 'Nathaniel Lees', 'Alvin Fitisemanu', ""Peter Sa'ena Brown"", 'Whetu Fala', 'John Sumner', 'Paula Keenan', 'Pua Magasiva', 'Mary Taio', 'Stig Eldred']",2.87,nan,"['Action', 'Adventure', 'Family', 'Drama']",113,['USA'],English,"['English', 'Tonga (Tonga Islands)']","John H. Groberg, a middle class kid from Idaho Falls, crosses the Pacific to become a Mormon missionary in the remote and exotic Tongan island kingdom during the 1950's. He leaves behind a loving family and the true love of his life, Jean. Through letters and musings across the miles, John shares his humbling and sometimes hilarious adventures with ""the girl back home"", and her letters buoy up his spirits in difficult times. John must struggle to overcome language barriers, physical hardship and deep-rooted suspicion to earn the trust and love of the Tongan people he has come to serve. Throughout his adventure-filled three years on the islands, he discovers friends and wisdom in the most unlikely places. John H. Groberg's Tongan odyssey will change his life forever.","['3Mark Entertainment', 'Molen/Garbett Productions', 'Walt Disney Studios Home Entertainment']",3088,722,260,1,62,94,75,195,194,361,161,122,24,47,1335,https://letterboxd.com/film/the-other-side-of-heaven/
Sesame Street,nan,Jonathan Krisel,"['Anne Hathaway', 'Matt Vogel', 'Ryan Dillon', 'Chance the Rapper']",nan,nan,"['Music', 'Family', 'Comedy']",nan,['USA'],English,['English'],"Big Bird and his Sesame Street friends are mysteriously expelled from their neighborhood, finding themselves in Manhattan. They team up with a plucky history show host Sally Hawthorne who’s on a quest to save her show and prove that Sesame Street actually exists, with obstacles created by the “evil” Mayor, with reasons of his own for keeping Sesame Street hidden from the world.","['Warner Bros. Pictures', 'Metro-Goldwyn-Mayer', 'Sesame Workshop']",811,373,84,0,0,0,0,0,0,0,0,0,0,0,0,https://letterboxd.com/film/sesame-street/
Barbra: The Music ... The Mem'ries ... The Magic!,2017,"Jim Gable, Barbra Streisand","['Barbra Streisand', 'Martin Erlichman', 'James Brolin', 'Jamie Foxx', 'Alec Baldwin', 'Antonio Banderas', 'Anne Hathaway', 'Hugh Jackman', 'Seth MacFarlane', 'Melissa McCarthy', 'Chris Pine', 'Daisy Ridley', 'Patrick Wilson']",3.58,nan,['Music'],108,['USA'],English,['English'],"Iconic songstress Barbra Streisand culminates her 13-city tour in Miami with dazzling ballads, Broadway standards and stories from behind the scenes.",nan,1285,377,321,1,1,5,5,18,31,125,138,198,35,132,688,https://letterboxd.com/film/barbra-the-music-the-memries-the-magic/
Letters to Jackie: Remembering President Kennedy,2013,Bill Couturié,"['Anne Hathaway', 'Bérénice Bejo', 'Michelle Williams', 'Kirsten Dunst', 'Chris Cooper', 'Demián Bichir', 'Jessica Chastain', 'Zooey Deschanel', 'Allison Janney', 'John Krasinski', 'Melissa Leo', 'Laura Linney', 'Chloë Grace Moretz', 'Octavia Spencer', 'Hailee Steinfeld', 'Betty White', 'Oliver Platt', 'Channing Tatum', 'Mark Ruffalo']",nan,nan,['Documentary'],88,['USA'],English,['English'],"Revisits President John F. Kennedy's presidential legacy through 21 of the more than 800,000 condolence letters written to Jackie Kennedy after JFK's assassination. Based on a book by Ellen Fitzpatrick",nan,222,165,28,0,1,1,1,8,11,26,10,10,3,2,73,https://letterboxd.com/film/letters-to-jackie-remembering-president-kennedy/
Don Peyote,2014,"Dan Fogler, Michael Canzoniero","['Dan Fogler', 'Kelly Hutchinson', 'Yang Miller', 'Jay Baruchel', 'Josh Duhamel', 'Joe Coleman', 'Meital Dohan', 'Anne Hathaway', 'Annabella Sciorra', 'Dean Winters', 'Daniel Pinchbeck', 'Topher Grace', 'Wallace Shawn', 'Abel Ferrara', 'Lauren Francesca', 'Wen Yann Shih', 'Montanna Gillis', 'Reka Rene', 'Ilana Levine', 'Dani Baum', 'Robert Walker', 'Elisabeth Harnois', 'Sarabeth Stroller', 'Natasha King']",2.78,nan,['Comedy'],90,['USA'],English,['English'],"An ordinary guy delves deep into counterculture, conspiracy theories and the like as he tries to discern the structure of society.","['Casadelic Pictures', 'Studio13', 'Redwire Pictures']",306,398,29,0,43,38,21,36,26,21,6,5,0,6,202,https://letterboxd.com/film/don-peyote/
Les Misérables: The History of the World's Greatest Story,2013,Alan Byron,"['Cameron Mackintosh', 'Alfie Boe', 'Lea Salonga', 'Frances Ruffelle', 'Tom Hooper', 'Hugh Jackman', 'Russell Crowe', 'Anne Hathaway', 'Amanda Seyfried', 'Sacha Baron Cohen', 'Eddie Redmayne', 'Isabelle Allen', 'Samantha Barks', 'Aaron Tveit']",3.28,nan,['Documentary'],56,nan,English,['English'],"From Victor Hugo`s classic French novel of the nineteenth century to Tom Hooper`s award winning blockbuster, Les Misérables has undergone one of the most successful transitions from book to stage to screen. In this new documentary, the scintillating journey of Hugo`s universal story is traced from book to stage to screen with contributions from those who have starred in and helped to create the entertainment phenomenon which has captured a place in everyone`s hearts. Helmed by entertainment and celebrity journalist Neil Sean, this insightful documentary traces the events of the Paris insurrection in 1832 and features excerpts from the restored 1978 Les Misérables lm starring Anthony Perkins alongside interviews with Frances Ruffelle, Hugh Jackman, Nick Jonas, Tom Hooper, Alfie Boe, Amanda Seyfried, Sir Cameron Mackintosh and Anne Hathaway.",['A2B Media'],967,85,108,0,4,17,20,42,37,118,48,65,11,56,418,https://letterboxd.com/film/les-miserables-the-history-of-the-worlds-greatest-story/
The Lifeboat,nan,Deniz Gamze Ergüven,['Anne Hathaway'],nan,nan,['Drama'],nan,['USA'],English,['English'],"Grace Winter, a young woman on trial for murder, recounts the tale of how she survived a shipwreck at sea in a lifeboat that initially carried too many people.","['Focus Features', 'Entertainment 360', 'Working Title Films']",15,237,8,0,0,0,0,0,0,0,0,0,0,0,0,https://letterboxd.com/film/the-lifeboat-1/
Sesame Street: Elmo's Christmas Countdown,2007,Gary Halvorson,"['Kevin Clash', 'Leslie Carrara-Rudolph', 'Tyler Bunch', 'Fran Brill', 'Sheryl Crow', 'Anne Hathaway', 'Jennifer Hudson', 'Alicia Keys', 'Joey Mazzarino', 'Jerry Nelson', 'Caroll Spinney', 'Kevin James', 'Jamie Foxx', 'Ben Stiller', 'Pam Arciero', 'Alan Muraoka', 'Ty Pennington', 'Charles Gibson', 'Steve Schirripa', 'Tony Sirico', 'Brad Paisley']",3.39,nan,"['TV Movie', 'Family']",60,nan,English,['English'],Sesame Street characters help Elmo count down the days leading up to Christmas.,nan,588,270,122,1,3,9,8,21,20,65,31,32,4,64,257,https://letterboxd.com/film/sesame-street-elmos-christmas-countdown/
Inside 'Interstellar',2015,"Jason Hillhouse, Jordan Goldberg","['Christopher Nolan', 'Emma Thomas', 'Lynda Obst', 'Matthew McConaughey', 'Jessica Chastain', 'Anne Hathaway', 'Hans Zimmer', 'Lee Smith', 'Mary Zophres', 'Kip Thorne', 'Jonathan Nolan', 'Casey Affleck', 'Nathan Crowley', 'Jake Myers', 'Rick Sears', 'Daniel M. Stillman', 'Dan Ondrejko', 'George Cottle', 'Topher Grace', 'Scott R. Fisher', 'Mark Fichera', 'Paul J. Franklin', 'Diz Sharpe', 'Marsha Ivins', 'Michael Caine', 'Ian Hunter', 'John Kelso', 'Roger Sayer', 'Hoyte van Hoytema', 'Troy Dederick', 'David Gyasi', 'Nilo Otero', 'Douglas D. Ziegler', 'John Lithgow']",nan,nan,['Documentary'],122,['USA'],English,['English'],"Cast and crew of Christopher Nolan's ""Interstellar"" discuss project origins, the film's imagery, ambitions, incorporating IMAX footage, the human element within the film, arm shooting locations outside of Calgary, the set construction and design, working with real corn, mechanical characters, including backstory, design, the blend of practical and digital effects in bringing them to life, the differences in the characters, the human performances behind the characters, the creative process behind the film's music, Icelandic locations, vehicle interiors, the processes of simulating the absence of gravity, the crucial end-film visuals and influence and inspiration for future generations",['Warner Home Video'],344,61,62,1,0,0,0,4,1,13,16,52,9,25,120,https://letterboxd.com/film/inside-interstellar/
Live Fast Die Hot,nan,nan,['Anne Hathaway'],nan,nan,['Drama'],nan,['USA'],English,['English'],Life for an eccentric New Yorker changes dramatically when she becomes a mom.,['Warner Bros. Pictures'],11,92,8,0,0,0,0,0,0,0,0,0,0,0,0,https://letterboxd.com/film/live-fast-die-hot/
Covidwood,2021,Didier Allouch,"['Didier Allouch', 'Anne Hathaway', 'John David Washington', 'Zendaya', 'Adam Mason', 'Drew T. Pierce', 'Brett Pierce', 'Rob Savage', 'Doug Liman', 'Sam Levinson', 'Jacques Jouffret', 'Jason Blum', 'Tom Rothman', 'Lance Alspaugh', 'Stephen Lighthill', 'Joana Vicente', 'Cameron Bailey', 'Patrick Corcoran', 'Karie Bible', 'Nick Weeks', 'Sharon Waxman']",nan,nan,['Documentary'],54,"['France', 'USA']",French,"['French', 'English']",A French documentary on how Covid-19 affected Hollywood and the cinema industry in the United States.,"['Canal+', 'La Jolla Productions']",123,34,11,0,0,6,3,12,7,16,1,1,0,1,47,https://letterboxd.com/film/covidwood/
Wide-Awake,2012,Tierney Gearon,"['Quvenzhané Wallis', 'Anne Hathaway', 'Rebel Wilson', 'Naomi Watts', 'Kerry Washington', 'Keira Knightley', 'Elle Fanning', 'Jennifer Lawrence', 'Helen Hunt', 'Marion Cotillard', 'Shirley MacLaine', 'Amy Adams', 'Emmanuelle Riva']",nan,nan,nan,16,['USA'],English,['English'],"Ingénues, icons, action heroes, divas and the world's next great comedy star: 13 actresses who gave the dreamiest performances of 2012.",['The New York Times'],276,60,14,0,4,5,5,10,22,30,11,6,0,4,97,https://letterboxd.com/film/wide-awake-2012/
PoliWood,2009,Barry Levinson,"['Richard Abramowitz', 'Stephen Baldwin', 'Annette Bening', 'Ellen Burstyn', 'Rachael Leigh Cook', 'David Crosby', 'Alan Cumming', 'Tim Daly', 'Robert Davi', 'Charlie Daniels', 'Dana Delany', 'Giancarlo Esposito', 'Tom Fontana', 'Danny Glover', 'Anne Hathaway', 'Spike Lee', 'Josh Lucas', 'Matthew Modine', 'Tom Morello', 'Gloria Reuben', 'Susan Sarandon', 'Richard Schiff', 'Ron Silver', 'Sting', 'Lynn Whitfield', 'Will.i.am']",nan,nan,['Documentary'],90,['USA'],English,['English'],An in-depth look at the Democratic and Republican national conventions held during the 2008 U.S. Presidential election year.,"['The Creative Coalition', 'Baltimore Pictures']",177,91,6,0,6,8,6,17,11,26,7,8,1,1,91,https://letterboxd.com/film/poliwood/
The Happy Days of Garry Marshall,2020,John Scheinfeld,"['Julie Andrews', 'Abigail Breslin', 'Yvette Nicole Brown', 'Pam Dawber', 'Michael Eisner', 'Hector Elizondo', 'Cary Elwes', 'Lowell Ganz', 'Jennifer Garner', 'Richard Gere', 'Anne Hathaway', 'Barbara Hershey', 'Kate Hudson', 'Ron Howard', 'Jeffrey Katzenberg', 'Jimmy Kimmel', 'Ashton Kutcher', 'David Lander', 'Rob Lowe', 'Barbara Marshall', 'Garry Marshall', 'Kathleen Marshall', 'Lori Marshall', 'Penny Marshall', 'Scott Marshall', 'Michael McKean', 'Don Most', 'Chris Pine', 'Julia Roberts', 'Marion Ross', 'John Stamos', 'Anson Williams', 'Cindy Williams', 'Henry Winkler']",nan,nan,"['TV Movie', 'Documentary']",84,['USA'],English,['English'],"In a heartfelt tribute to Hollywood legend Garry Marshall, his family and friends share their favorite memories of the creative genius behind some of the most memorable series in television history.",['Greengrass Productions'],171,59,24,0,1,0,0,5,5,29,12,20,4,6,82,https://letterboxd.com/film/the-happy-days-of-garry-marshall/
A Place in Time,2007,Angelina Jolie,"['Hazel Armenante', 'Nicole Barré', 'Jude Law', 'Anne Hathaway', 'Djimon Hounsou', 'Angelina Jolie']",nan,nan,['Documentary'],70,nan,English,['English'],"The film takes a look at the daily lives of people in more than two dozen countries around the world during the course of a week. In the film, celebrity friends of Jolie visit orphanages, refugee camps and other areas of concern in an effort to raise awareness and encourage cultural understanding. It is an experimental documentary that seeks to capture both the diversity of life around the globe and the similarities of the human spirit by filming in many places in the world at precisely the same moment.",nan,46,54,6,0,0,0,0,1,3,2,1,1,0,3,11,https://letterboxd.com/film/a-place-in-time-2007/
French Children Don't Throw Food,nan,nan,['Anne Hathaway'],nan,nan,['Drama'],nan,['USA'],English,['English'],"An American journalist who moves to Paris for her husband's job and raises a family there. As she tries to figure out how to balance her family and career — and battle the feelings that she is failing at both — she observes her French neighbors and friends to uncover the secrets behind parenting astonishingly well-behaved French children. She learns, however, that everyone, no matter how perfect they might appear, has their own problems.","['StudioCanal', 'Blueprint Pictures']",9,47,1,0,0,0,0,0,0,0,0,0,0,0,0,https://letterboxd.com/film/french-children-dont-throw-food/
Sesame Street: Elmo's Playdate,2020,Matt Vogel,"['Anne Hathaway', 'Lin-Manuel Miranda', 'Tracee Ellis Ross', 'Ryan Dillon', 'Eric Jacobson', 'Matt Vogel', ""Stephanie D'Abruzzo"", 'David Rudman', 'Peter Linz', 'Martin P. Robinson', 'Leslie Carrara-Rudolph', 'Jennifer Barnhart', 'Frankie Cordero', 'Tyler Bunch', 'Carmen Osbahr', 'Suki Lopez']",nan,nan,['Family'],30,['USA'],English,['English'],"Part of Sesame Workshop's ""Caring for Each Other"" Initiative, Sesame Street: Elmo's Playdate offers families a moment of joy and connection in challenging times.",['Sesame Workshop'],167,87,28,0,3,5,2,7,6,18,4,5,0,8,58,https://letterboxd.com/film/sesame-street-elmos-playdate/
Bum's Rush,nan,Aaron Schneider,"['Anne Hathaway', 'Bill Murray']",nan,nan,nan,nan,nan,English,['English'],"The relationship between Pearl, a highly skilled custom boot maker who crosses paths with a singular stray dog Bum. The two highly independent souls find themselves at a serious crossroads, one that will change both their hearts and minds in ways they can hardly imagine.",nan,11,75,3,0,0,0,0,0,0,0,0,0,0,0,0,https://letterboxd.com/film/bums-rush/
Seesaw Monster,nan,nan,"['Anne Hathaway', 'Salma Hayek Pinault']",nan,nan,nan,nan,nan,English,['English'],Plot TBA.,"['Ventanarosa Productions', 'Somewhere Pictures']",8,72,2,0,0,0,0,0,0,0,0,0,0,0,0,https://letterboxd.com/film/seesaw-monster/
"Mr. Runner Up: My Life as an Oscar Bridesmaid, Part 2",2016,"Alexander Buono, Rhys Thomas","['Bill Hader', 'Fred Armisen', 'Helen Mirren', 'Peter Fonda', 'Anne Hathaway', 'Laura Bell Bundy']",nan,nan,nan,22,nan,English,['English'],"A candid docu-memoir of Hollywood Legend Jerry Wallach, and his forty year quest to win an Oscar.",['Broadway Video'],198,18,40,0,0,0,0,1,1,11,5,18,5,13,54,https://letterboxd.com/film/mr-runner-up-my-life-as-an-oscar-bridesmaid-part-2/
10 Mountains 10 Years,2010,nan,['Anne Hathaway'],nan,nan,['Documentary'],78,nan,English,['English'],"Chronicling the worldwide epic created by mountain climber Enzo Simone. 10 Mountains 10 Years follows his international team of mountain climbers as they scale 10 of the greatest peaks in the world to raise awareness and funds for Alzheimer's and Parkinson's Disease. Focusing on Mt. Kilimanjaro, the film tracks the greatest advances happening in the medical community alongside the team's endurance at altitude. This is a story of hope and of common everyday people coming together to change this world and leave something better behind. A collaboration with the Leeza Gibbons Memory Foundation and the Focus On a Cure Foundation for Parkinson's, proceeds from the film go towards medical research and caregiver programs.",nan,12,7,1,0,0,2,0,0,1,1,0,1,0,0,5,https://letterboxd.com/film/10-mountains-10-years/
Bulgari: Unexpected Wonders,2022,Paolo Sorrentino,"['Zendaya', 'Anne Hathaway']",nan,nan,['Drama'],3,['Italy'],Italian,['Italian'],The advertising is meant to be an invitation to the appreciation of simple things as even the ordinary can turn out to be extraordinary.,nan,36,1,7,0,1,2,1,0,1,5,0,1,0,4,15,https://letterboxd.com/film/bulgari-unexpected-wonders/
Patricia Field: Fashion Visionary,2013,Chris Phoenix,"['Patricia Field', 'Anne Hathaway']",nan,nan,['Documentary'],13,nan,English,['English'],A portrait of costume designer Patricia Field.,['Trailer Park'],13,6,2,0,0,0,0,0,1,2,0,0,0,0,3,https://letterboxd.com/film/patricia-field-fashion-visionary/
